epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,91.6633,1.57624,2.83782,1.51111,0.01313,0.73196,0.66117,0.45457,1.03608,3.02812,1.10179,0.00031108,0.00031108,0.00031108
2,103.062,0.97832,1.0201,1.08685,1,0.33041,0.91728,0.69573,0.88783,2.34526,1.02604,0.000570576,0.000570576,0.000570576
3,114.743,0.89709,0.82863,1.02991,0.93305,0.90238,0.98073,0.73046,0.94363,1.44206,1.02012,0.000766279,0.000766279,0.000766279
4,123.136,0.85402,0.7724,1.00006,0.95135,0.96175,0.98659,0.74976,0.8485,0.87655,0.96909,0.000781033,0.000781033,0.000781033
5,133.265,0.81811,0.71029,0.97994,0.96822,0.97452,0.98839,0.78184,0.78524,0.66985,0.96329,0.000671044,0.000671044,0.000671044
6,143.184,0.77067,0.66284,0.95987,0.97242,0.98195,0.98555,0.7755,0.76974,0.58686,0.94679,0.000561055,0.000561055,0.000561055
7,151.401,0.75885,0.64194,0.95683,0.96332,0.99142,0.99076,0.78183,0.76912,0.54915,0.9516,0.000451066,0.000451066,0.000451066
8,161.464,0.74544,0.61628,0.93718,0.9797,0.98258,0.98884,0.79034,0.75585,0.53451,0.94922,0.000341077,0.000341077,0.000341077
9,171.39,0.7133,0.5943,0.93405,0.98106,0.98452,0.99199,0.80171,0.73128,0.50696,0.93612,0.000231088,0.000231088,0.000231088
10,179.634,0.70034,0.58062,0.92777,0.98602,0.97829,0.99355,0.80619,0.70865,0.48944,0.93031,0.000121099,0.000121099,0.000121099
