epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.3485,1.57624,2.83782,1.51111,0.01313,0.73196,0.66121,0.45426,1.03426,3.02697,1.10046,0.00031108,0.00031108,0.00031108
2,65.0212,0.97832,1.0201,1.08685,1,0.33048,0.91737,0.69578,0.88613,2.34438,1.02488,0.000570576,0.000570576,0.000570576
3,75.8416,0.89709,0.82863,1.02991,0.93438,0.90041,0.98034,0.73043,0.94191,1.44146,1.0191,0.000766279,0.000766279,0.000766279
4,85.7208,0.85402,0.7724,1.00006,0.95094,0.96176,0.98659,0.74979,0.84745,0.87544,0.9678,0.000781033,0.000781033,0.000781033
5,94.5528,0.81811,0.71029,0.97994,0.96831,0.97441,0.98844,0.78237,0.7843,0.66882,0.96196,0.000671044,0.000671044,0.000671044
6,104.33,0.77067,0.66284,0.95987,0.97242,0.98195,0.98564,0.77519,0.76812,0.58584,0.94564,0.000561055,0.000561055,0.000561055
7,113.951,0.75885,0.64194,0.95683,0.9621,0.99139,0.99058,0.78204,0.76814,0.54799,0.9505,0.000451066,0.000451066,0.000451066
8,122.859,0.74544,0.61628,0.93718,0.97968,0.98259,0.98884,0.79062,0.75443,0.53339,0.94788,0.000341077,0.000341077,0.000341077
9,133.18,0.7133,0.5943,0.93405,0.98106,0.98452,0.99193,0.80148,0.72987,0.50588,0.93492,0.000231088,0.000231088,0.000231088
10,143.158,0.70034,0.58062,0.92777,0.98602,0.97828,0.99355,0.80618,0.70733,0.48879,0.92902,0.000121099,0.000121099,0.000121099
